"siren","nom","url_platform","id_datagouv","techno_platform"
200060010,"MAUGES COMMUNAUTE","https://data.paysdelaloire.fr/explore/?disjunctive.publisher&sort=modified&refine.gestionnaire=Mauges+Communauté+","5f6c976670645664a4e46021","OpenDataSoft, DataGouv"
216403717,"MAULEON-LICHARRE",,"5f83ff9a1b2669c796a54f8f","DataGouv"
225300011,"MAYENNE",,"5aeab860c751df3bca98b623","DataGouv"
216205633,"MAZINGARBE",,"5bb345d18b4c414c173fc6a5","DataGouv"
217702851,"MEE-SUR-SEINE",,"5fe341b15d051ff72bc526db","DataGouv"
510651441,"MEHARIN",,"5e01d5646f444126973821b0","DataGouv"
216403774,"MENDIONDE",,"5ee872e36fbeeabe38b99a11","DataGouv"
210600839,"MENTON","https://opendata.sictiam.fr/fr/organization/commune-de-menton",,"CKAN"
210401618,"MEOLANS-REVEL",,,"DataGouv"
213103419,"MERVILLE","https://data.laregion.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Commune+de+Merville",,
217702901,"MERY SUR MARNE",,"6005ae216c957d96087bb80b","DataGouv"
200054807,"METROPOLE AIX MARSEILLE PROVENCE","https://data.ampmetropole.fr/explore/?q=&sort=modified&refine.publisher=M%C3%A9tropole+Aix-Marseille+Provence","59afbe7cc751df1980d8d1b5","OpenDataSoft, DataGouv"
200046977,"METROPOLE DE LYON","https://data.grandlyon.com/recherche?responsibleParty.organisationName=M%C3%A9tropole%20de%20Lyon","534fff7aa3a7292c64a77e0c","GeoNetwork, DataGouv"
245400676,"METROPOLE DU GRAND NANCY","https://www.datagrandest.fr/data4citizen/?q=text:","534fff65a3a7292c64a77d73","CKAN, DataGouv"
245900410,"METROPOLE EUROPEENNE DE LILLE","https://opendata.lillemetropole.fr/explore/?sort=modified&refine.publisher=M%C3%A9tropole+Europ%C3%A9enne+de+Lille","58b69c62c751df4b175dd7a4","OpenDataSoft, DataGouv"
200030195,"METROPOLE NICE COTE D'AZUR","http://opendata.nicecotedazur.org/data/organization/metropole-nice-cote-d-azur","59aea226c751df38f3f6834b","CKAN, DataGouv"
200039865,"METZ METROPOLE",,"53fd1263a3a729390ba568a4","DataGouv"
219200482,"MEUDON","https://data.meudon.fr/explore/?sort=title&refine.publisher=Ville+de+Meudon","54d89442c751df1245467389","OpenDataSoft, DataGouv"
225400019,"MEURTHE ET MOSELLE",,"5bc74634634f4144ed36741c","DataGouv"
